Unique Identifier,Connector Name
magento_mysql,Magento MySQL
magento_mysql_rds,Magento MySQL RDS
mailchimp,Mailchimp
mandrill,Mandrill
mariadb,MariaDB
mariadb_rds,MariaDB RDS
marin_software,Marin Software
marketo,Marketo
mavenlink,Mavenlink
mediamath,MediaMath
microsoft_365,Microsoft 365
microsoft_access,Microsoft Access
microsoft_advertising,Microsoft Advertising
microsoft_dynamics_ax,Microsoft Dynamics AX
microsoft_dynamics_customer_engagement,Microsoft Dynamics Customer Engagement
microsoft_dynamics_gp,Microsoft Dynamics GP
microsoft_dynamics_nav,Microsoft Dynamics NAV
microsoft_sql_server_mssql,Microsoft SQL Server MSSQL
microsoft_teams,Microsoft Teams
mixpanel,Mixpanel
moat_analytics,Moat Analytics
mobileaction,MobileAction
monday,Monday
mongo_db,Mongo DB
mongodb,MongoDB
mongodb_atlas,MongoDB Atlas
mongodb_sharded,MongoDB Sharded
ms_sql_server,MS SQL Server
myaffiliates,MyAffiliates
mysql,MySQL
mysql_rds,MySQL RDS
netezza,Netezza
netsuite,Netsuite
netsuite_reporting,Netsuite Reporting
netsuite_restlets,Netsuite RESTlets
netsuite_suiteanalytics,NetSuite SuiteAnalytics
new_relic,New Relic
nuviad,Nuviad
oath,Oath
okta,Okta
onedrive,OneDrive
openx,OpenX
optimizely,Optimizely
optimove,Optimove
oracle,Oracle
oracle_cloud_customer_experience,Oracle Cloud Customer Experience
oracle_cloud_erp_&_scm,Oracle Cloud ERP & SCM
oracle_cloud_storage,Oracle Cloud Storage
oracle_db,Oracle DB
oracle_ebs,Oracle EBS
oracle_eloqua,Oracle Eloqua
oracle_peoplesoft,Oracle PeopleSoft
oracle_rac,Oracle RAC
oracle_rds,Oracle RDS
oracle_responsys,Oracle Responsys
oracle_service_cloud,Oracle Service Cloud
oracle_siebel_crm,Oracle Siebel CRM
outbrain,Outbrain
outreach,Outreach
pardot,Pardot
paypal,PayPal
paypal_reports,PayPal Reports
paypal_sandbox,Paypal Sandbox
paypal_transaction,PayPal Transaction
pendo,Pendo
phoenix,Phoenix
picasso_labs,Picasso Labs
pinterest,Pinterest
